Aaien	Aaide	Geaaid
Mandateren	Mandateerde	Gemandateerd
Mandiën	Mandiede	Gemandied
Maneuvreren	Maneuvreerde	Gemaneuvreerd
Manicuren	Manicuurde	Gemanicuurd
Manken	Mankte	Gemankt
Mankeren	Mankeerde	Gemankeerd
Mannen	Mande	Gemand
Manumitteren	Manumitteerde	Gemanumitteerd
Marginaliseren	Marginaliseerde	Gemarginaliseerd
Markten	Marktte	Gemarkt
Marlen	Marlde	Gemarld
Marmelen	Marmelde	Gemarmeld
Maroderen	Marodeerde	Gemarodeerd
Marren	Marde	Gemard
Massacreren	Massacreerde	Gemassacreerd
Masseren	Masseerde	Gemasseerd
Massificeren	Massificeerde	Gemassificeerd
Masten	Mastte	Gemast
Mastieken	Mastiekte	Gemastiekt
Masturberen	Masturbeerde	Gemasturbeerd
Mathematiseren	Mathematiseerde	Gemathematiseerd
Matsen	Matste	Gematst
Matten	Matte	Gemat
Matteren	Matteerde	Gematteerd
Mauwen	Mauwde	Gemauwd
Maximaliseren	Maximaliseerde	Gemaximaliseerd
Maximeren	Maximeerde	Gemaximeerd
Mazelen	Mazelde	Gemazeld
Mazen	Maasde	Gemaasd
Mazzelen	Mazzelde	Gemazzeld
Meanderen	Meanderde	Gemeanderd
Mechaniseren	Mechaniseerde	Gemechaniseerd
Medicaliseren	Medicaliseerde	Gemedicaliseerd
Medicineren	Medicineerde	Gemedicineerd
Meerderen	Meerderde	Gemeerderd
Meesmuilen	Meesmuilde	Gemeesmuild
Meesteren	Meesterde	Gemeesterd
Meieren	Meierde	Gemeierd
Mekken	Mekte	Gemekt
Mekkeren	Mekkerde	Gemekkerd
Melen	Meelde	Gemeeld
Memoreren	Memoreerde	Gememoreerd
Memoriseren	Memoriseerde	Gememoriseerd
Menageren	Menageerde	Gemenageerd
Mendelen	Mendelde	Gemendeld
Meneren	Meneerde	Gemeneerd
Mengelen	Mengelde	Gemengeld
Meniën	Meniede	Gemenied
Mensendiecken	Mensendieckte	Gemensendieckt
Menstrueren	Menstrueerde	Gemenstrueerd
Merceriseren	Merceriseerde	Gemerceriseerd
Meren	Meerde	Gemeerd
Metalliseren	Metalliseerde	Gemetalliseerd
Metamorfoseren	Metamorfoseerde	Gemetamorfoseerd
Metastaseren	Metastaseerde	Gemetastaseerd
Metselen	Metselde	Gemetseld
Metsen	Metste	Gemetst
Meubelen	Meubelde	Gemeubeld
Meubileren	Meubileerde	Gemeubileerd
Meuken	Meukte	Gemeukt
Meuren	Meurde	Gemeurd
Mevrouwen	Mevrouwde	Gemevrouwd
Miauwen	Miauwde	Gemiauwd
Microfilmen	Microfilmde	Gemicrofilmd
Middagmalen	Middagmaalde	Gemiddagmaald
Middelen	Middelde	Gemiddeld
Midgetgolfen	Midgetgolfte	Gemidgetgolft
Miegelen	Miegelde	Gemiegeld
Miepen	Miepte	Gemiept
Mieren	Mierde	Gemierd
Mieteren	Mieterde	Gemieterd
Miezelen	Miezelde	Gemiezeld
Miezeren	Miezerde	Gemiezerd
Migreren	Migreerde	Gemigreerd
Mijmeren	Mijmerde	Gemijmerd
Mijnen	Mijnde	Gemijnd
Mijten	Mijtte	Gemijt
Mijteren	Mijterde	Gemijterd
Mikken	Mikte	Gemikt
Milderen	Milderde	Gemilderd
Militariseren	Militariseerde	Gemilitariseerd
Millimeteren	Millimeterde	Gemillimeterd
Mimen	Mimede	Gemimed
Minderen	Minderde	Geminderd
Mineraliseren	Mineraliseerde	Gemineraliseerd
Minimaliseren	Minimaliseerde	Geminimaliseerd
Miniseren	Miniseerde	Geminiseerd
Minnekozen	Minnekoosde	Geminnekoosd
Minnen	Minde	Gemind
Minoriseren	Minoriseerde	Geminoriseerd
Misachten	Misachtte	Misacht
Misbruiken	Misbruikte	Misbruikt
Misdoen	Misdeed	Misdaan
Misdragen	Misdroeg	Misdragen
Misdrijven	Misdreef	Misdreven
Misduiden	Misduidde	Misduid
Mis	Misging	Misgaan
Misgelden	Misgold	Misgolden
Mis	Misgreep	Misgrepen
Mishagen	Mishaagde	Mishaagd
Mishandelen	Mishandelde	Mishandeld
Mishoren	Mishoorde	Mishoord
Miskennen	Miskende	Miskend
Miskijken	Miskeek	Miskeken
Miskomen	Miskwam	Miskomen
Mislezen	Mislas	Mislezen
Mismeesteren	Mismeesterde	Mismeesterd
Misnoegen	Misnoegde	Misnoegd
Mispakken	Mispakte	Mispakt
Mispeuteren	Mispeuterde	Mispeuterd
Misprijzen	Misprees	Misprezen
Misrekenen	Misrekende	Misrekend
Missioneren	Missioneerde	Gemissioneerd
Misstaan	Misstond	Misstaan
Mistekenen	Mistekende	Mistekend
Misten	Mistte	Gemist
Mistrouwen	Mistrouwde	Mistrouwd
Misvallen	Misviel	Misvallen
Miszien	Miszag	Miszien
Mitigeren	Mitigeerde	Gemitigeerd
Mitrailleren	Mitrailleerde	Gemitrailleerd
Mitsen	Mitste	Gemitst
Mobiliseren	Mobiliseerde	Gemobiliseerd
Modereren	Modereerde	Gemodereerd
Moduleren	Moduleerde	Gemoduleerd
Moederen	Moederde	Gemoederd
Moeien	Moeide	Gemoeid
Moeren	Moerde	Gemoerd
Moffelen	Moffelde	Gemoffeld
Moireren	Moireerde	Gemoireerd
Mokeren	Mokerde	Gemokerd
Mokkelen	Mokkelde	Gemokkeld
Molesteren	Molesteerde	Gemolesteerd
Mollen	Molde	Gemold
Molmen	Molmde	Gemolmd
Mommelen	Mommelde	Gemommeld
Mommen	Momde	Gemomd
Monden	Mondde	Gemond
Monitoren	Monitorde	Gemonitord
Monkelen	Monkelde	Gemonkeld
Monken	Monkte	Gemonkt
Monoftongeren	Monoftongeerde	Gemonoftongeerd
Monopoliseren	Monopoliseerde	Gemonopoliseerd
Monopoliën	Monopoliede	Gemonopolied
Monopolyen	Monopolyde	Gemonopolyd
Montignaccen	Montignacte	Gemontignact
Moraliseren	Moraliseerde	Gemoraliseerd
Morrelen	Morrelde	Gemorreld
Morsen	Morste	Gemorst
Mortelen	Mortelde	Gemorteld
Morzelen	Morzelde	Gemorzeld
Motiveren	Motiveerde	Gemotiveerd
Motoriseren	Motoriseerde	Gemotoriseerd
Motorren	Motorde	Gemotord
Motregenen	Motregende	Gemotregend
Motsen	Motste	Gemotst
Motten	Motte	Gemot
Mountainbiken	Mountainbikete	Gemountainbiket
Mousseren	Mousseerde	Gemousseerd
Mouten	Moutte	Gemout
Moven	Movede	Gemoved
Moveren	Moveerde	Gemoveerd
Muffen	Mufte	Gemuft
Muggenziften	Muggenziftte	Gemuggenzift
Muiken	Muikte	Gemuikt
Muilbanden	Muilbandde	Gemuilband
Muilkorven	Muilkorfde	Gemuilkorfd
Muizen	Muisde	Gemuisd
Mummificeren	Mummificeerde	Gemummificeerd
Munten	Muntte	Gemunt
Murmureren	Murmureerde	Gemurmureerd
Murwen	Murwde	Gemurwd
Musiceren	Musiceerde	Gemusiceerd
Muteren	Muteerde	Gemuteerd
Mutileren	Mutileerde	Gemutileerd
Mystificeren	Mystificeerde	Gemystificeerd
Mythologiseren	Mythologiseerde	Gemythologiseerd
Mêleren	Mêleerde	Gemêleerd
Naaien	Naaide	Genaaid
Naasten	Naastte	Genaast
Nachtbraken	Nachtbraakte	Genachtbraakt
Naken	Naakte	Genaakt
Narren	Narde	Genard
Nasaleren	Nasaleerde	Genasaleerd
Nasjen	Nasjte	Genasjt
Nassen	Naste	Genast
Nationaliseren	Nationaliseerde	Genationaliseerd
Natten	Natte	Genat
Naturaliseren	Naturaliseerde	Genaturaliseerd
Navigeren	Navigeerde	Genavigeerd
Negligeren	Negligeerde	Genegligeerd
Negotiëren	Negotieerde	Genegotieerd
Nekken	Nekte	Genekt
Neppen	Nepte	Genept
Nestelen	Nestelde	Genesteld
Netelen	Netelde	Geneteld
Netten	Nette	Genet
Netwerken	Netwerkte	Genetwerkt
Neuken	Neukte	Geneukt
Neuriën	Neuriede	Geneuried
Neurotiseren	Neurotiseerde	Geneurotiseerd
Neutraliseren	Neutraliseerde	Geneutraliseerd
Neuzelen	Neuzelde	Geneuzeld
Neuzen	Neusde	Geneusd
Nevelen	Nevelde	Geneveld
Nieten	Niette	Geniet
Nijdassen	Nijdaste	Genijdast
Nikken	Nikte	Genikt
Niksen	Nikste	Genikst
Nippen	Nipte	Genipt
Nitreren	Nitreerde	Genitreerd
Nivelleren	Nivelleerde	Genivelleerd
Niëlleren	Niëlleerde	Geniëlleerd
Nodigen	Nodigde	Genodigd
Nokken	Nokte	Genokt
Nomineren	Nomineerde	Genomineerd
Noordelijken	Noordelijkte	Genoordelijkt
Noordoosteren	Noordoosterde	Genoordoosterd
Noordwesteren	Noordwesterde	Genoordwesterd
Nopen	Noopte	Genoopt
Noppen	Nopte	Genopt
Normaliseren	Normaliseerde	Genormaliseerd
Normeren	Normeerde	Genormeerd
Notificeren	Notificeerde	Genotificeerd
Nummeren	Nummerde	Genummerd
Nutten	Nutte	Genut
Objectiveren	Objectiveerde	Geobjectiveerd
Obstrueren	Obstrueerde	Geobstrueerd
Occuperen	Occupeerde	Geoccupeerd
Octrooieren	Octrooieerde	Geoctrooieerd
Odoriseren	Odoriseerde	Geodoriseerd
Officialiseren	Officialiseerde	Geofficialiseerd
Offreren	Offreerde	Geoffreerd
Ogen	Oogde	Geoogd
Ohaën	Ohade	Geohaad
Omberen	Omberde	Geomberd
Omcirkelen	Omcirkelde	Omcirkeld
Omdijken	Omdijkte	Omdijkt
Omfloersen	Omfloerste	Omfloerst
Om	Omgaf	Omgeven
Om	Omgordde	Omgord
Omgrenzen	Omgrensde	Omgrensd
Om	Omhing	Omhangen
Omheinen	Omheinde	Omheind
Omkaden	Omkaadde	Omkaad
Omkaderen	Omkaderde	Omkaderd
Omklemmen	Omklemde	Omklemd
Omknellen	Omknelde	Omkneld
Omkransen	Omkranste	Omkranst
Omlijnen	Omlijnde	Omlijnd
Omlijsten	Omlijstte	Omlijst
Ommuren	Ommuurde	Ommuurd
Omnevelen	Omnevelde	Omneveld
Ompalen	Ompaalde	Ompaald
Ompantseren	Ompantserde	Ompantserd
Omprangen	Omprangde	Omprangd
Omranden	Omrandde	Omrand
Omranken	Omrankte	Omrankt
Omrasteren	Omrasterde	Omrasterd
Omringen	Omringde	Omringd
Omschansen	Omschanste	Omschanst
Omsingelen	Omsingelde	Omsingeld
Om	Omslingerde	Omslingerd
Omsluiten	Omsloot	Omsloten
Omsnoeren	Omsnoerde	Omsnoerd
Om	Omspande	Omspannen
Omspelen	Omspeelde	Omspeeld
Omspinnen	Omspon	Omsponnen
Om	Omspoelde	Omspoeld
Omstikken	Omstikte	Omstikt
Omstralen	Omstraalde	Omstraald
Omstrengelen	Omstrengelde	Omstrengeld
Om	Omstuwde	Omstuwd
Omsuizen	Omsuisde	Omsuisd
Om	Omtrok	Omtrokken
Omtuinen	Omtuinde	Omtuind
Omvamen	Omvaamde	Omvaamd
Omvangen	Omving	Omvangen
Omwallen	Omwalde	Omwald
Omwalmen	Omwalmde	Omwalmd
Omweiden	Omweidde	Omweid
Om	Omwond	Omwonden
Om	Omwoelde	Omwoeld
Omwolken	Omwolkte	Omwolkt
Omzakken	Omzakte	Omzakt
Omzitten		
Omzwermen	Omzwermde	Omzwermd
Om	Omzweefde	Omzweefd
Omzwiepen	Omzwiepte	Omzwiept
Onaneren	Onaneerde	Geonaneerd
Onderbelichten	Onderbelichtte	Onderbelicht
Onderbenutten	Onderbenutte	Onderbenut
Onderbetalen	Onderbetaalde	Onderbetaald
Onderbevrachten	Onderbevrachtte	Onderbevracht
Onderblijven	Onderbleef	Onderbleven
Onderbouwen	Onderbouwde	Onderbouwd
Ondergieten	Ondergoot	Ondergoten
Onderhandelen	Onderhandelde	Onderhandeld
Onderkoelen	Onderkoelde	Onderkoeld
Onderkomen	Onderkwam	Onderkomen
Onderkopen	Onderkocht	Onderkocht
Onderkruipen	Onderkroop	Onderkropen
Onderleggen	Onderlegde	Onderlegd
Onderlijnen	Onderlijnde	Onderlijnd
Ondermengen	Ondermengde	Ondermengd
Ondernemen	Ondernam	Ondernomen
Onderrichten	Onderrichtte	Onderricht
Onderschatten	Onderschatte	Onderschat
Onderscheppen	Onderschepte	Onderschept
Onderschoren	Onderschoorde	Onderschoord
Onderschragen	Onderschraagde	Onderschraagd
Onderschrijden	Onderschreed	Onderschreden
Onderspannen	Onderspande	Onderspannen
Onderspoelen	Onderspoelde	Onderspoeld
Onder	Onderstond	Onderstaan
Onderstrepen	Onderstreepte	Onderstreept
Onderstuiven	Onderstoof	Onderstoven
Onderstutten	Onderstutte	Onderstut
Ondertitelen	Ondertitelde	Ondertiteld
Ondertrouwen	Ondertrouwde	Ondertrouwd
Ondertunnelen	Ondertunnelde	Ondertunneld
Ondervangen	Onderving	Ondervangen
Onderverdelen	Onderverdeelde	Onderverdeeld
Ondervoeden	Ondervoedde	Ondervoed
Onderwaarderen	Onderwaardeerde	Ondergewaardeerd
Onderzinken	Onderzonk	Onderzonken
Onduleren	Onduleerde	Geonduleerd
Ontadelen	Ontadelde	Ontadeld
Ontberen	Ontbeerde	Ontbeerd
Ontbieden	Ontbood	Ontboden
Ontbijten	Ontbeet	Ontbeten
Ontbladeren	Ontbladerde	Ontbladerd
Ontbloten	Ontblootte	Ontbloot
Ontboezemen	Ontboezemde	Ontboezemd
Ontbolsteren	Ontbolsterde	Ontbolsterd
Ontbossen	Ontboste	Ontbost
Ontcijferen	Ontcijferde	Ontcijferd
Ontdekken	Ontdekte	Ontdekt
Ontdoen	Ontdeed	Ontdaan
Ontdubbelen	Ontdubbelde	Ontdubbeld
Onteigenen	Onteigende	Onteigend
Onterven	Onterfde	Onterfd
Ontfermen	Ontfermde	Ontfermd
Ontfronsen	Ontfronste	Ontfronst
Ontfutselen	Ontfutselde	Ontfutseld
Ontgassen	Ontgaste	Ontgast
Ontgelden	Ontgold	Ontgolden
Ontgeven	Ontgaf	Ontgeven
Ontgiften	Ontgiftte	Ontgift
Ontginnen	Ontgon	Ontgonnen
Ontglijden	Ontgleed	Ontgleden
Ontglippen	Ontglipte	Ontglipt
Ontgloeien	Ontgloeide	Ontgloeid
Ontgoochelen	Ontgoochelde	Ontgoocheld
Ontgraten	Ontgraatte	Ontgraat
Ontgraven	Ontgroef	Ontgraven
Ontgrendelen	Ontgrendelde	Ontgrendeld
Ontgroeien	Ontgroeide	Ontgroeid
Ontgroenen	Ontgroende	Ontgroend
Ontgronden	Ontgrondde	Ontgrond
Onthaasten	Onthaastte	Onthaast
Onthalzen	Onthalsde	Onthalsd
Ontharden	Onthardde	Onthard
Ontharen	Onthaarde	Onthaard
Onthechten	Onthechtte	Onthecht
Ontheffen	Onthief	Ontheven
Ontinkten	Ontinktte	Ontinkt
Ontkalken	Ontkalkte	Ontkalkt
Ontkapen	Ontkaapte	Ontkaapt
Ontkerstenen	Ontkerstende	Ontkerstend
Ontkleuren	Ontkleurde	Ontkleurd
Ontknopen	Ontknoopte	Ontknoopt
Ontkolen	Ontkoolde	Ontkoold
Ontkoppelen	Ontkoppelde	Ontkoppeld
Ontkrachten	Ontkrachtte	Ontkracht
Ontkroezen	Ontkroesde	Ontkroesd
Ontlaten	Ontliet	Ontlaten
Ontleden	Ontleedde	Ontleed
Ontleren	Ontleerde	Ontleerd
Ontluchten	Ontluchtte	Ontlucht
Ontluizen	Ontluisde	Ontluisd
Ontmaken	Ontmaakte	Ontmaakt
Ontmantelen	Ontmantelde	Ontmanteld
Ontmaskeren	Ontmaskerde	Ontmaskerd
Ontmasten	Ontmastte	Ontmast
Ontmengen	Ontmengde	Ontmengd
Ontmenselijken	Ontmenselijkte	Ontmenselijkt
Ontmijnen	Ontmijnde	Ontmijnd
Ontmuggen	Ontmugde	Ontmugd
Ontmunten	Ontmuntte	Ontmunt
Ontmythologiseren	Ontmythologiseerde	Ontmythologiseerd
Ontnemen	Ontnam	Ontnomen
Ontnuchteren	Ontnuchterde	Ontnuchterd
Ontpachten	Ontpachtte	Ontpacht
Ontpakken	Ontpakte	Ontpakt
Ontpersen	Ontperste	Ontperst
Ontpoppen	Ontpopte	Ontpopt
Ontraadselen	Ontraadselde	Ontraadseld
Ontrafelen	Ontrafelde	Ontrafeld
Ontratten	Ontratte	Ontrat
Ontregelen	Ontregelde	Ontregeld
Ontroesten	Ontroestte	Ontroest
Ontroven	Ontroofde	Ontroofd
Ontrukken	Ontrukte	Ontrukt
Ontrusten	Ontrustte	Ontrust
Ontschepen	Ontscheepte	Ontscheept
Ontschieten	Ontschoot	Ontschoten
Ontschoeien	Ontschoeide	Ontschoeid
Ontschorsen	Ontschorste	Ontschorst
Ontsieren	Ontsierde	Ontsierd
Ontslaken	Ontslaakte	Ontslaakt
Ontslapen	Ontsliep	Ontslapen
Ontslippen	Ontslipte	Ontslipt
Ontsluieren	Ontsluierde	Ontsluierd
Ontsluimeren	Ontsluimerde	Ontsluimerd
Ontsluipen	Ontsloop	Ontslopen
Ontsluiten	Ontsloot	Ontsloten
Ontsparen	Ontspaarde	Ontspaard
Ontspiegelen	Ontspiegelde	Ontspiegeld
Ontspinnen	Ontspon	Ontsponnen
Ontstelen	Ontstal	Ontstolen
Ontstemmen	Ontstemde	Ontstemd
Ontstichten	Ontstichtte	Ontsticht
Ontstijgen	Ontsteeg	Ontstegen
Ontstoppen	Ontstopte	Ontstopt
Ontstoren	Ontstoorde	Ontstoord
Ontstrijden	Ontstreed	Ontstreden
Ontstrikken	Ontstrikte	Ontstrikt
Onttakelen	Onttakelde	Onttakeld
Onttoveren	Onttoverde	Onttoverd
Onttuigen	Onttuigde	Onttuigd
Ontvallen	Ontviel	Ontvallen
Ontvellen	Ontvelde	Ontveld
Ontvlechten	Ontvlocht	Ontvlochten
Ontvlekken	Ontvlekte	Ontvlekt
Ontvlezen	Ontvleesde	Ontvleesd
Ontvlieden	Ontvlood	Ontvloden
Ontvliegen	Ontvloog	Ontvlogen
Ontvloeien	Ontvloeide	Ontvloeid
Ontvlokken	Ontvlokte	Ontvlokt
Ontvolken	Ontvolkte	Ontvolkt
Ontvonken	Ontvonkte	Ontvonkt
Ontvrienden	Ontvriendde	Ontvriend
Ontvriezen	Ontvroor	Ontvroren
Ontwapenen	Ontwapende	Ontwapend
Ontwassen	Ontwies	Ontwassen
Ontwateren	Ontwaterde	Ontwaterd
Ontweien	Ontweide	Ontweid
Ontweldigen	Ontweldigde	Ontweldigd
Ontwellen	Ontwelde	Ontweld
Ontwennen	Ontwende	Ontwend
Ontwinden	Ontwond	Ontwonden
Ontwoekeren	Ontwoekerde	Ontwoekerd
Ontwormen	Ontwormde	Ontwormd
Ontworstelen	Ontworstelde	Ontworsteld
Ontwortelen	Ontwortelde	Ontworteld
Ontwringen	Ontwrong	Ontwrongen
Ontzadelen	Ontzadelde	Ontzadeld
Ontzegelen	Ontzegelde	Ontzegeld
Ontzeilen	Ontzeilde	Ontzeild
Ontzielen	Ontzielde	Ontzield
Ontzilten	Ontziltte	Ontzilt
Ontzinken	Ontzonk	Ontzonken
Ontzippen	Ontzipte	Ontzipt
Ontzouten	Ontzoutte	Ontzouten
Ontzuilen	Ontzuilde	Ontzuild
Ontzuren	Ontzuurde	Ontzuurd
Ontzwachtelen	Ontzwachtelde	Ontzwachteld
Ontzwavelen	Ontzwavelde	Ontzwaveld
Ontzwellen	Ontzwol	Ontzwollen
Onweren	Onweerde	Geonweerd
Oorlogen	Oorloogde	Geoorloogd
Oormerken	Oormerkte	Geoormerkt
Operationaliseren	Operationaliseerde	Geoperationaliseerd
Opereren	Opereerde	Geopereerd
Opiniëren	Opinieerde	Geopinieerd
Opstuiten		
Optimaliseren	Optimaliseerde	Geoptimaliseerd
Orakelen	Orakelde	Georakeld
Ordineren	Ordineerde	Geordineerd
Ordonneren	Ordonneerde	Geordonneerd
Oreren	Oreerde	Georeerd
Orgelen	Orgelde	Georgeld
Orkestreren	Orkestreerde	Georkestreerd
Ornamenteren	Ornamenteerde	Geornamenteerd
Otteren	Otterde	Geotterd
Outilleren	Outilleerde	Geoutilleerd
Ouwehoeren	Ouwehoerde	Geouwehoerd
Ouwenelen	Ouweneelde	Geouweneeld
Overbelasten	Overbelastte	Overbelast
Overbelichten	Overbelichtte	Overbelicht
Overbevolken	Overbevolkte	Overbevolkt
Overbieden	Overbood	Overboden
Overbluffen	Overblufte	Overbluft
Overbruggen	Overbrugde	Overbrugd
Overcompenseren	Overcompenseerde	Overgecompenseerd
Overdekken	Overdekte	Overdekt
Overdonderen	Overdonderde	Overdonderd
Overduvelen	Overduvelde	Overduveld
Overeten	Overat	Overeten
Overgroeien	Overgroeide	Overgroeid
Overhaasten	Overhaastte	Overhaast
Overhoren	Overhoorde	Overhoord
Overhuiven	Overhuifde	Overhuifd
Overijlen	Overijlde	Overijld
Overkappen	Overkapte	Overkapt
Over	Overkeek	Overkeken
Overklassen	Overklaste	Overklast
Overkluizen	Overkluisde	Overkluisd
Overkoepelen	Overkoepelde	Overkoepeld
Overkroppen	Overkropte	Overkropt
Overlappen	Overlapte	Overlapt
Overlasten	Overlastte	Overlast
Overleven	Overleefde	Overleefd
Overlommeren	Overlommerde	Overlommerd
Overmannen	Overmande	Overmand
Overmeesteren	Overmeesterde	Overmeesterd
Overnachten	Overnachtte	Overnacht
Overpeinzen	Overpeinsde	Overpeinsd
Over	Overpraatte	Overpraat
Overprikkelen	Overprikkelde	Overprikkeld
Overreageren	Overreageerde	Overreageerd
Overroepen	Overriep	Overroepen
Overrompelen	Overrompelde	Overrompeld
Overrulen	Overrulede	Overruled
Overschaduwen	Overschaduwde	Overschaduwd
Over	Overschatte	Overschat
Over	Overschilderde	Overschilderd
Overschitteren	Overschitterde	Overschitterd
Overschouwen	Overschouwde	Overschouwd
Overschreeuwen	Overschreeuwde	Overschreeuwd
Overschrijden	Overschreed	Overschreden
Overslapen	Oversliep	Overslapen
Overspannen	Overspande	Overspannen
Over	Overspeelde	Overspeeld
Overspoelen	Overspoelde	Overspoeld
Over	Overspoot	Overspoten
Overstaan	Overstond	Overstaan
Over	Overstemde	Overstemd
Overstijgen	Oversteeg	Overstegen
Overstralen	Overstraalde	Overstraald
Over	Overtekende	Overtekend
Overtijgen	Overtoog	Overtogen
Over	Overtrad	Overtreden
Overtroeven	Overtroefde	Overtroefd
Over	Overvoer	Overvaren
Oververhitten	Oververhitte	Oververhit
Oververmoeien	Oververmoeide	Oververmoeid
Oververzadigen	Oververzadigde	Oververzadigd
Overvleugelen	Overvleugelde	Overvleugeld
Overvoeden	Overvoedde	Overvoed
Over	Overvoerde	Overvoerd
Overwelven	Overwelfde	Overwelfd
Over	Overwerkte	Overwerkt
Overwinteren	Overwinterde	Overwinterd
Overwoekeren	Overwoekerde	Overwoekerd
Over	Overzeilde	Overzeild
Over	Overzag	Overzien
Ovuleren	Ovuleerde	Geovuleerd
Ozoniseren	Ozoniseerde	Geozoniseerd
Paaldansen	Paaldanste	Gepaaldanst
Pacen	Pacete	Gepacet
Pachten	Pachtte	Gepacht
Pacteren	Pacteerde	Gepacteerd
Paddelen	Paddelde	Gepaddeld
Pagaaien	Pagaaide	Gepagaaid
Pagineren	Pagineerde	Gepagineerd
Paintballen	Paintballde	Gepaintballd
Palaveren	Palaverde	Gepalaverd
Palen	Paalde	Gepaald
Paleren	Paleerde	Gepaleerd
Paletten	Palette	Gepalet
Palissaderen	Palissadeerde	Gepalissadeerd
Palmen	Palmde	Gepalmd
Palperen	Palpeerde	Gepalpeerd
Palpiteren	Palpiteerde	Gepalpiteerd
Pamperen	Pamperde	Gepamperd
Panacheren	Panacheerde	Gepanacheerd
Panden	Pandde	Gepand
Pandoeren	Pandoerde	Gepandoerd
Panikeren	Panikeerde	Gepanikeerd
Panlikken	Panlikte	Gepanlikt
Parachuteren	Parachuteerde	Geparachuteerd
Paraferen	Parafeerde	Geparafeerd
Paraffineren	Paraffineerde	Geparaffineerd
Parafraseren	Parafraseerde	Geparafraseerd
Paragraferen	Paragrafeerde	Geparagrafeerd
Paralyseren	Paralyseerde	Geparalyseerd
Parasiteren	Parasiteerde	Geparasiteerd
Pardonneren	Pardonneerde	Gepardonneerd
Parelen	Parelde	Gepareld
Paren	Paarde	Gepaard
Parfumeren	Parfumeerde	Geparfumeerd
Parkeren	Parkeerde	Geparkeerd
Parketteren	Parketteerde	Geparketteerd
Parlementen	Parlementte	Geparlement
Parlementeren	Parlementeerde	Geparlementeerd
Parlesanten	Parlesantte	Geparlesant
Parlevinken	Parlevinkte	Geparlevinkt
Parsen	Parsete	Geparset
Participeren	Participeerde	Geparticipeerd
Partyen	Partyde	Gepartyd
Pasporteren	Pasporteerde	Gepasporteerd
Passagieren	Passagierde	Gepassagierd
Pasteuriseren	Pasteuriseerde	Gepasteuriseerd
Patenteren	Patenteerde	Gepatenteerd
Paternosteren	Paternosterde	Gepaternosterd
Patineren	Patineerde	Gepatineerd
Patroneren	Patroneerde	Gepatroneerd
Patroniseren	Patroniseerde	Gepatroniseerd
Patrouilleren	Patrouilleerde	Gepatrouilleerd
Patsen	Patste	Gepatst
Pauken	Paukte	Gepaukt
Pauzeren	Pauzeerde	Gepauzeerd
Pavoiseren	Pavoiseerde	Gepavoiseerd
Pedicuren	Pedicuurde	Gepedicuurd
Pegelen	Pegelde	Gepegeld
Peigeren	Peigerde	Gepeigerd
Pekken	Pekte	Gepekt
Pelen	Peelde	Gepeeld
Pelgrimeren	Pelgrimeerde	Gepelgrimeerd
Penaliseren	Penaliseerde	Gepenaliseerd
Pendelen	Pendelde	Gependeld
Penetreren	Penetreerde	Gepenetreerd
Pennen	Pende	Gepend
Penselen	Penseelde	Gepenseeld
Pensioneren	Pensioneerde	Gepensioneerd
Peperen	Peperde	Gepeperd
Percipiëren	Percipieerde	Gepercipieerd
Percuteren	Percuteerde	Gepercuteerd
Peren	Peerde	Gepeerd
Perfectioneren	Perfectioneerde	Geperfectioneerd
Perforeren	Perforeerde	Geperforeerd
Periodiseren	Periodiseerde	Geperiodiseerd
Perken	Perkte	Geperkt
Permanenten	Permanentte	Gepermanent
Peroreren	Peroreerde	Geperoreerd
Perpendiculariseren	Perpendiculariseerde	Geperpendiculariseerd
Persevereren	Persevereerde	Gepersevereerd
Persifleren	Persifleerde	Gepersifleerd
Persisteren	Persisteerde	Gepersisteerd
Personifiëren	Personifieerde	Gepersonifieerd
Perverteren	Perverteerde	Geperverteerd
Pesten	Pestte	Gepest
Petanquen	Petanquete	Gepetanquet
Petitioneren	Petitioneerde	Gepetitioneerd
Petsen	Petste	Gepetst
Peuren	Peurde	Gepeurd
Peuteren	Peuterde	Gepeuterd
Peuzelen	Peuzelde	Gepeuzeld
Pezen	Peesde	Gepeesd
Pezeweven	Pezeweefde	Gepezeweefd
Picknicken	Picknickte	Gepicknickt
Piefpaffen	Piefpafte	Gepiefpaft
Pieken	Piekte	Gepiekt
Pielen	Pielde	Gepield
Piemelen	Piemelde	Gepiemeld
Piepelen	Piepelde	Gepiepeld
Piercen	Piercete	Gepiercet
Pieren	Pierde	Gepierd
Pierewaaien	Pierewaaide	Gepierewaaid
Pietepeuteren	Pietepeuterde	Gepietepeuterd
Pifpaffen	Pifpafte	Gepifpaft
Pijnen	Pijnde	Gepijnd
Pijpen	Pijpte	Gepijpt
Piketten	Pikette	Gepiket
Piketteren	Piketteerde	Gepiketteerd
Pikkelen	Pikkelde	Gepikkeld
Pillen	Pilde	Gepild
Pimpampetten	Pimpampette	Gepimpampet
Pimpelen	Pimpelde	Gepimpeld
Pinaren	Pinaarde	Gepinaard
Pingpongen	Pingpongde	Gepingpongd
Pinkelen	Pinkelde	Gepinkeld
Pinkeren	Pinkerde	Gepinkerd
Pinkogen	Pinkoogde	Gepinkoogd
Pinnen	Pinde	Gepind
Pintelieren	Pintelierde	Gepintelierd
Pionieren	Pionierde	Gepionierd
